Time    ,EPEL_TT ,EPPL_TT ,EPTO_TT ,EPEL_ZZ ,EPPL_ZZ ,EPTO_ZZ ,EPEL_TZ ,EPPL_TZ ,EPTO_TZ ,EPEL_RR ,EPPL_RR ,EPTO_RR ,S_TT    ,S_ZZ    ,S_TZ    ,S_EQV   ,EPPL_EQV,NL_EPEQ 
 0.1000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
 0.2000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.5000000E-03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.5000000E-03, 0.0000000E+00,-0.5000000E-03, 0.6833334E+02, 0.1366667E+03, 0.0000000E+00, 0.1183568E+03, 0.0000000E+00, 0.0000000E+00
 0.3000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.1000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1000000E-02, 0.0000000E+00,-0.1000000E-02, 0.1366667E+03, 0.2733333E+03, 0.0000000E+00, 0.2367136E+03, 0.0000000E+00, 0.0000000E+00
 0.4000000E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1400000E-02, 0.0000000E+00, 0.1400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1400000E-02, 0.0000000E+00,-0.1400000E-02, 0.1913333E+03, 0.3826667E+03, 0.0000000E+00, 0.3313990E+03, 0.0000000E+00, 0.0000000E+00
 0.5000000E+01, 0.2132248E-15,-0.2132248E-15, 0.0000000E+00, 0.1529565E-02, 0.1704346E-03, 0.1700000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1529565E-02,-0.1704346E-03,-0.1700000E-02, 0.2090406E+03, 0.4180812E+03, 0.0000000E+00, 0.3620689E+03, 0.1968010E-03, 0.1968010E-03
 0.6000000E+01, 0.5218486E-15,-0.5218486E-15, 0.0000000E+00, 0.1544200E-02, 0.4558005E-03, 0.2000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1544199E-02,-0.4558005E-03,-0.2000000E-02, 0.2110406E+03, 0.4220812E+03, 0.0000000E+00, 0.3655330E+03, 0.5263131E-03, 0.5263133E-03
 0.7000000E+01, 0.8540244E-15,-0.8540244E-15, 0.0000000E+00, 0.1563712E-02, 0.8362883E-03, 0.2400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1563712E-02,-0.8362883E-03,-0.2400000E-02, 0.2137073E+03, 0.4274145E+03, 0.0000000E+00, 0.3701518E+03, 0.9656625E-03, 0.9656630E-03
 0.8000000E+01, 0.1223974E-14,-0.1223974E-14, 0.0000000E+00, 0.1592980E-02, 0.1407020E-02, 0.3000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1592980E-02,-0.1407020E-02,-0.3000000E-02, 0.2177073E+03, 0.4354145E+03, 0.0000000E+00, 0.3770800E+03, 0.1624687E-02, 0.1624688E-02
 0.9000000E+01, 0.1486904E-14,-0.1486904E-14, 0.0000000E+00, 0.1622248E-02, 0.1977752E-02, 0.3600000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1622248E-02,-0.1977752E-02,-0.3600000E-02, 0.2217073E+03, 0.4434145E+03, 0.0000000E+00, 0.3840082E+03, 0.2283711E-02, 0.2283714E-02
 0.1000000E+02, 0.1727995E-14,-0.1727995E-14, 0.0000000E+00, 0.1661273E-02, 0.2738727E-02, 0.4400000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1661273E-02,-0.2738727E-02,-0.4400000E-02, 0.2270406E+03, 0.4540812E+03, 0.0000000E+00, 0.3932458E+03, 0.3162410E-02, 0.3162417E-02
 0.1100000E+02, 0.1856687E-14,-0.1856687E-14, 0.0000000E+00, 0.1690541E-02, 0.3309459E-02, 0.5000000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1690541E-02,-0.3309459E-02,-0.5000000E-02, 0.2310406E+03, 0.4620812E+03, 0.0000000E+00, 0.4001740E+03, 0.3821434E-02, 0.3821442E-02
 0.1200000E+02, 0.1997141E-14,-0.1997141E-14, 0.0000000E+00, 0.1734443E-02, 0.4165557E-02, 0.5900000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1734443E-02,-0.4165557E-02,-0.5900000E-02, 0.2370406E+03, 0.4740812E+03, 0.0000000E+00, 0.4105663E+03, 0.4809971E-02, 0.4809986E-02
 0.1300000E+02, 0.2090300E-14,-0.2090300E-14, 0.0000000E+00, 0.1773468E-02, 0.4926532E-02, 0.6700000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1773468E-02,-0.4926532E-02,-0.6700000E-02, 0.2423739E+03, 0.4847479E+03, 0.0000000E+00, 0.4198040E+03, 0.5688669E-02, 0.5688689E-02
 0.1400000E+02, 0.2165877E-14,-0.2165877E-14, 0.0000000E+00, 0.1812492E-02, 0.5687508E-02, 0.7500000E-02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00,-0.1812492E-02,-0.5687508E-02,-0.7500000E-02, 0.2477073E+03, 0.4954145E+03, 0.0000000E+00, 0.4290416E+03, 0.6567368E-02, 0.6567392E-02
 0.1500000E+02, 0.4937621E-03, 0.5623785E-04, 0.5500000E-03, 0.1508503E-02, 0.5941497E-02, 0.7450000E-02, 0.3590997E-03, 0.4090026E-04, 0.4000000E-03,-0.2002265E-02,-0.5997735E-02,-0.8000000E-02, 0.3411237E+03, 0.4798050E+03, 0.2453848E+02, 0.4297811E+03, 0.6893388E-02, 0.6900103E-02
 0.1600000E+02, 0.6883884E-03, 0.1116116E-03, 0.8000000E-03, 0.1346077E-02, 0.6043923E-02, 0.7390000E-02, 0.5179265E-03, 0.8207354E-04, 0.6000000E-03,-0.2034466E-02,-0.6155534E-02,-0.8190000E-02, 0.3721234E+03, 0.4620075E+03, 0.3539164E+02, 0.4286731E+03, 0.7044403E-02, 0.7062095E-02
 0.1700000E+02, 0.8404158E-03, 0.1595842E-03, 0.1000000E-02, 0.1196654E-02, 0.6103346E-02, 0.7300000E-02, 0.6511629E-03, 0.1188371E-03, 0.7700000E-03,-0.2037070E-02,-0.6262930E-02,-0.8300000E-02, 0.3932564E+03, 0.4419423E+03, 0.4449614E+02, 0.4267396E+03, 0.7141786E-02, 0.7171823E-02
 0.1800000E+02, 0.1051279E-02, 0.2687213E-03, 0.1320000E-02, 0.9608182E-03, 0.6189182E-02, 0.7150000E-02, 0.7976763E-03, 0.2023237E-03, 0.1000000E-02,-0.2012097E-02,-0.6457903E-02,-0.8470000E-02, 0.4186613E+03, 0.4062984E+03, 0.5450788E+02, 0.4232819E+03, 0.7307675E-02, 0.7373323E-02
 0.1900000E+02, 0.1208538E-02, 0.3914622E-03, 0.1600000E-02, 0.7534724E-03, 0.6246528E-02, 0.7000000E-02, 0.9052587E-03, 0.2947413E-03, 0.1200000E-02,-0.1962010E-02,-0.6637990E-02,-0.8600000E-02, 0.4333082E+03, 0.3711159E+03, 0.6185934E+02, 0.4197085E+03, 0.7451116E-02, 0.7565040E-02
 0.2000000E+02, 0.1368076E-02, 0.5919236E-03, 0.1960000E-02, 0.5074874E-03, 0.6292513E-02, 0.6800000E-02, 0.1006721E-02, 0.4432793E-03, 0.1450000E-02,-0.1875564E-02,-0.6884436E-02,-0.8760000E-02, 0.4432975E+03, 0.3256837E+03, 0.6879258E+02, 0.4152168E+03, 0.7634998E-02, 0.7841052E-02
 0.2100000E+02, 0.1490343E-02, 0.8096572E-03, 0.2300000E-02, 0.2972524E-03, 0.6302747E-02, 0.6600000E-02, 0.1032194E-02, 0.5978059E-03, 0.1630000E-02,-0.1787595E-02,-0.7112405E-02,-0.8900000E-02, 0.4479848E+03, 0.2849292E+03, 0.7053326E+02, 0.4112857E+03, 0.7795091E-02, 0.8113767E-02
 0.2200000E+02, 0.1583275E-02, 0.1066725E-02, 0.2650000E-02, 0.1188993E-03, 0.6281101E-02, 0.6400000E-02, 0.1030817E-02, 0.7691828E-03, 0.1800000E-02,-0.1702174E-02,-0.7347826E-02,-0.9050000E-02, 0.4490114E+03, 0.2488801E+03, 0.7043917E+02, 0.4082738E+03, 0.7953050E-02, 0.8415739E-02
 0.2300000E+02, 0.1657378E-02, 0.1322622E-02, 0.2980000E-02,-0.3399363E-04, 0.6233993E-02, 0.6200000E-02, 0.9927347E-03, 0.9272653E-03, 0.1920000E-02,-0.1623385E-02,-0.7556615E-02,-0.9180000E-02, 0.4483710E+03, 0.2172168E+03, 0.6783687E+02, 0.4057481E+03, 0.8088854E-02, 0.8703108E-02
 0.2400000E+02, 0.1739610E-02, 0.1680390E-02, 0.3420000E-02,-0.2320840E-03, 0.6132084E-02, 0.5900000E-02, 0.9156283E-03, 0.1124372E-02, 0.2040000E-02,-0.1507526E-02,-0.7812474E-02,-0.9320000E-02, 0.4437751E+03, 0.1743103E+03, 0.6256794E+02, 0.4021320E+03, 0.8249971E-02, 0.9089137E-02
 0.2500000E+02, 0.1799154E-02, 0.2030846E-02, 0.3830000E-02,-0.3989500E-03, 0.5998950E-02, 0.5600000E-02, 0.8098340E-03, 0.1290166E-02, 0.2100000E-02,-0.1400204E-02,-0.8029796E-02,-0.9430000E-02, 0.4372456E+03, 0.1368381E+03, 0.5533866E+02, 0.3990785E+03, 0.8383381E-02, 0.9455829E-02
 0.2600000E+02, 0.1832718E-02, 0.2317282E-02, 0.4150000E-02,-0.4738506E-03, 0.5873851E-02, 0.5400000E-02, 0.7144553E-03, 0.1405545E-02, 0.2120000E-02,-0.1358867E-02,-0.8191133E-02,-0.9550000E-02, 0.4361832E+03, 0.1209522E+03, 0.4882111E+02, 0.3990970E+03, 0.8483488E-02, 0.9750688E-02
 0.2700000E+02, 0.1856088E-02, 0.2573912E-02, 0.4430000E-02,-0.5521785E-03, 0.5752178E-02, 0.5200000E-02, 0.6540052E-03, 0.1495995E-02, 0.2150000E-02,-0.1303910E-02,-0.8326090E-02,-0.9630000E-02, 0.4318664E+03, 0.1027366E+03, 0.4469035E+02, 0.3983549E+03, 0.8569533E-02, 0.1001272E-01
 0.2800000E+02, 0.1876486E-02, 0.2823513E-02, 0.4700000E-02,-0.6245357E-03, 0.5624535E-02, 0.5000000E-02, 0.5771387E-03, 0.1572861E-02, 0.2150000E-02,-0.1251951E-02,-0.8448049E-02,-0.9700000E-02, 0.4275531E+03, 0.8574674E+02, 0.3943781E+02, 0.3976920E+03, 0.8649243E-02, 0.1026628E-01
 0.2900000E+02, 0.1896398E-02, 0.3103602E-02, 0.5000000E-02,-0.6734248E-03, 0.5473425E-02, 0.4800000E-02, 0.4947407E-03, 0.1645259E-02, 0.2140000E-02,-0.1222973E-02,-0.8577026E-02,-0.9800000E-02, 0.4263141E+03, 0.7510495E+02, 0.3380728E+02, 0.3984908E+03, 0.8737260E-02, 0.1054978E-01
 0.3000000E+02, 0.1919558E-02, 0.3430442E-02, 0.5350000E-02,-0.6931839E-03, 0.5293184E-02, 0.4600000E-02, 0.3982059E-03, 0.1711794E-02, 0.2110000E-02,-0.1226374E-02,-0.8723626E-02,-0.9950000E-02, 0.4299441E+03, 0.7286935E+02, 0.2721074E+02, 0.4013145E+03, 0.8845055E-02, 0.1087945E-01
